testing: 12 threads
running ans_2opt_omp2
Working on ../as_1/dis_dir/test11.dis
OpenMP version of ans_2opt_sp11.c
* Balanced search space division/Proper/Partial distance compare/Copy when swapping
* OpenMP Distributed route/Free to swap/Contention pause
Using  12 threads
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  7:00 = 157637575022.236023
Distance @  7:00 = 157635599925.371887
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:00 = 157635251015.076599
Distance @  7:30 = 151993041252.029846
Distance @  7:30 = 151992641961.418518
Distance @  7:30 = 151992641961.418518
Distance @  7:30 = 151992641961.418518
Distance @  7:30 = 151992641961.418518
Distance @  7:30 = 151992641961.418518
Distance @  7:30 = 151992641961.418518
Distance @  7:30 = 151992641961.418518
Distance @  7:30 = 151992641961.418518
